Datetime,Region,Energy Required (MU),Peak Demand (MW),Grid Frequency (Hz)
2023-01-01 14:00:00,North-Eastern Region,253.34,4555.6,50.03
2023-01-01 15:00:00,Northern Region,461.13,8375.2,50.05
2023-01-01 15:00:00,Western Region,554.96,10075.7,49.96
2023-01-01 15:00:00,Southern Region,454.4,8244.4,50.06
2023-01-01 15:00:00,Eastern Region,241.42,4364.0,49.99
2023-01-01 15:00:00,North-Eastern Region,218.61,3976.0,50.03
2023-01-01 16:00:00,Northern Region,448.15,8182.5,50.06
2023-01-01 16:00:00,Western Region,541.89,9845.9,50.04
2023-01-01 16:00:00,Southern Region,454.65,8243.0,50.09
2023-01-01 16:00:00,Eastern Region,215.63,3900.4,49.99
2023-01-01 16:00:00,North-Eastern Region,236.0,4334.9,50.03
2023-01-01 17:00:00,Northern Region,476.96,8703.8,50.01
2023-01-01 17:00:00,Western Region,492.77,8972.8,49.97
2023-01-01 17:00:00,Southern Region,445.77,8104.5,50.08
2023-01-01 17:00:00,Eastern Region,243.35,4459.9,49.96
2023-01-01 17:00:00,North-Eastern Region,228.28,4148.1,50.01
2023-01-01 18:00:00,Northern Region,452.52,8231.7,50.0
2023-01-01 18:00:00,Western Region,504.99,9203.0,50.03
2023-01-01 18:00:00,Southern Region,398.95,7231.3,49.99
2023-01-01 18:00:00,Eastern Region,204.8,3694.7,49.9
2023-01-01 18:00:00,North-Eastern Region,229.92,4174.6,49.96
2023-01-01 19:00:00,Northern Region,446.44,8111.1,50.03
2023-01-01 19:00:00,Western Region,476.75,8695.4,49.92
2023-01-01 19:00:00,Southern Region,418.21,7598.0,50.03
2023-01-01 19:00:00,Eastern Region,252.13,4634.5,50.05
2023-01-01 19:00:00,North-Eastern Region,188.18,3431.3,49.99
2023-01-01 20:00:00,Northern Region,378.69,6901.8,50.04
2023-01-01 20:00:00,Western Region,454.95,8307.7,50.05
2023-01-01 20:00:00,Southern Region,394.33,7235.5,49.97
2023-01-01 20:00:00,Eastern Region,196.67,3577.9,49.98
2023-01-01 20:00:00,North-Eastern Region,177.48,3261.9,50.07
2023-01-01 21:00:00,Northern Region,386.83,7043.7,49.99
2023-01-01 21:00:00,Western Region,433.6,7909.1,49.99
2023-01-01 21:00:00,Southern Region,370.25,6662.0,50.0
2023-01-01 21:00:00,Eastern Region,210.76,3837.7,49.94
2023-01-01 21:00:00,North-Eastern Region,177.33,3179.4,49.92
2023-01-01 22:00:00,Northern Region,382.65,6969.5,50.02
2023-01-01 22:00:00,Western Region,371.9,6784.9,50.03
2023-01-01 22:00:00,Southern Region,378.79,6862.5,49.95
2023-01-01 22:00:00,Eastern Region,199.15,3643.9,49.99
2023-01-01 22:00:00,North-Eastern Region,191.34,3535.1,50.01
2023-01-01 23:00:00,Northern Region,351.38,6423.3,50.03
2023-01-01 23:00:00,Western Region,384.24,6995.7,49.92
2023-01-01 23:00:00,Southern Region,323.72,5969.7,49.98
2023-01-01 23:00:00,Eastern Region,145.99,2697.5,50.07
2023-01-01 23:00:00,North-Eastern Region,152.02,2767.8,49.99
2023-01-02 00:00:00,Northern Region,326.09,5909.6,49.97
2023-01-02 00:00:00,Western Region,364.65,6653.2,49.99
2023-01-02 00:00:00,Southern Region,334.19,6086.9,49.99
2023-01-02 00:00:00,Eastern Region,155.58,2805.8,49.99
2023-01-02 00:00:00,North-Eastern Region,165.12,2962.2,49.97
2023-01-02 01:00:00,Northern Region,337.44,6116.9,50.0
2023-01-02 01:00:00,Western Region,341.67,6256.2,50.05
2023-01-02 01:00:00,Southern Region,326.58,5947.5,50.02
2023-01-02 01:00:00,Eastern Region,159.33,2878.5,50.03
2023-01-02 01:00:00,North-Eastern Region,150.46,2750.9,50.05
2023-01-02 02:00:00,Northern Region,302.08,5493.5,50.0
2023-01-02 02:00:00,Western Region,327.65,5948.4,50.0
2023-01-02 02:00:00,Southern Region,300.63,5501.5,50.07
2023-01-02 02:00:00,Eastern Region,182.2,3378.6,49.99
2023-01-02 02:00:00,North-Eastern Region,177.87,3247.5,49.95
2023-01-02 03:00:00,Northern Region,308.54,5603.4,49.93
2023-01-02 03:00:00,Western Region,362.73,6602.6,50.12
2023-01-02 03:00:00,Southern Region,327.3,5998.5,50.02
2023-01-02 03:00:00,Eastern Region,151.07,2720.4,49.98
2023-01-02 03:00:00,North-Eastern Region,156.34,2880.4,50.05
2023-01-02 04:00:00,Northern Region,324.84,5904.7,49.97
2023-01-02 04:00:00,Western Region,369.22,6728.1,49.98
2023-01-02 04:00:00,Southern Region,332.85,6038.7,50.05
2023-01-02 04:00:00,Eastern Region,168.81,3055.2,50.06
2023-01-02 04:00:00,North-Eastern Region,139.07,2527.1,50.06
2023-01-02 05:00:00,Northern Region,362.07,6613.8,50.0
2023-01-02 05:00:00,Western Region,401.92,7337.2,50.04
2023-01-02 05:00:00,Southern Region,328.05,6004.5,49.96
2023-01-02 05:00:00,Eastern Region,152.35,2772.5,50.0
2023-01-02 05:00:00,North-Eastern Region,191.1,3471.6,50.01
2023-01-02 06:00:00,Northern Region,344.71,6236.4,49.99
2023-01-02 06:00:00,Western Region,413.84,7610.5,49.96
2023-01-02 06:00:00,Southern Region,387.4,7042.1,50.06
2023-01-02 06:00:00,Eastern Region,157.7,2878.1,50.01
2023-01-02 06:00:00,North-Eastern Region,173.21,3144.1,50.0
2023-01-02 07:00:00,Northern Region,381.25,6881.5,49.95
2023-01-02 07:00:00,Western Region,413.35,7439.5,49.94
2023-01-02 07:00:00,Southern Region,390.48,7116.0,49.96
2023-01-02 07:00:00,Eastern Region,203.77,3708.4,49.96
2023-01-02 07:00:00,North-Eastern Region,199.04,3662.7,49.99
2023-01-02 08:00:00,Northern Region,411.08,7490.4,50.01
2023-01-02 08:00:00,Western Region,431.09,7804.6,49.96
2023-01-02 08:00:00,Southern Region,404.7,7363.5,49.99
2023-01-02 08:00:00,Eastern Region,219.43,4039.7,49.92
2023-01-02 08:00:00,North-Eastern Region,167.75,3039.0,50.02
2023-01-02 09:00:00,Northern Region,429.42,7807.3,49.91
2023-01-02 09:00:00,Western Region,501.68,9109.6,50.01
2023-01-02 09:00:00,Southern Region,421.02,7652.6,50.04
2023-01-02 09:00:00,Eastern Region,229.4,4133.9,49.9
2023-01-02 09:00:00,North-Eastern Region,200.42,3658.0,50.01
2023-01-02 10:00:00,Northern Region,445.38,8139.9,50.04
2023-01-02 10:00:00,Western Region,488.36,8846.4,49.97
2023-01-02 10:00:00,Southern Region,457.93,8312.9,50.05
2023-01-02 10:00:00,Eastern Region,230.18,4254.6,50.0
2023-01-02 10:00:00,North-Eastern Region,184.94,3426.5,50.0
2023-01-02 11:00:00,Northern Region,454.7,8318.7,49.99
2023-01-02 11:00:00,Western Region,497.55,9044.8,50.02
2023-01-02 11:00:00,Southern Region,450.67,8257.0,49.96
2023-01-02 11:00:00,Eastern Region,216.53,3899.4,50.08
2023-01-02 11:00:00,North-Eastern Region,254.34,4619.9,49.96
2023-01-02 12:00:00,Northern Region,442.39,8095.1,50.03
2023-01-02 12:00:00,Western Region,537.64,9773.7,50.05
2023-01-02 12:00:00,Southern Region,469.65,8511.5,49.96
2023-01-02 12:00:00,Eastern Region,238.59,4300.9,50.02
2023-01-02 12:00:00,North-Eastern Region,220.26,3994.2,49.98
2023-01-02 13:00:00,Northern Region,472.24,8610.4,49.95
2023-01-02 13:00:00,Western Region,526.7,9543.8,49.98
2023-01-02 13:00:00,Southern Region,461.9,8410.5,50.02
2023-01-02 13:00:00,Eastern Region,267.67,4856.8,50.05
2023-01-02 13:00:00,North-Eastern Region,230.22,4169.2,50.02
2023-01-02 14:00:00,Northern Region,495.23,9045.9,50.02
2023-01-02 14:00:00,Western Region,542.17,9920.6,49.98
2023-01-02 14:00:00,Southern Region,467.0,8479.9,49.95
2023-01-02 14:00:00,Eastern Region,229.66,4227.6,49.93
2023-01-02 14:00:00,North-Eastern Region,266.31,4799.9,50.04
2023-01-02 15:00:00,Northern Region,435.92,7986.2,49.97
2023-01-02 15:00:00,Western Region,539.8,9821.8,49.99
2023-01-02 15:00:00,Southern Region,500.49,9141.0,50.0
2023-01-02 15:00:00,Eastern Region,245.71,4500.4,49.99
2023-01-02 15:00:00,North-Eastern Region,251.56,4610.3,49.98
2023-01-02 16:00:00,Northern Region,451.87,8234.2,49.96
2023-01-02 16:00:00,Western Region,534.43,9718.2,50.04
2023-01-02 16:00:00,Southern Region,483.04,8854.9,50.05
2023-01-02 16:00:00,Eastern Region,242.7,4398.8,49.96
2023-01-02 16:00:00,North-Eastern Region,242.66,4456.3,50.04
2023-01-02 17:00:00,Northern Region,454.62,8257.4,50.05
2023-01-02 17:00:00,Western Region,517.55,9365.8,50.06
2023-01-02 17:00:00,Southern Region,423.18,7678.5,49.98
2023-01-02 17:00:00,Eastern Region,237.43,4305.0,49.97
2023-01-02 17:00:00,North-Eastern Region,227.82,4180.9,49.99
2023-01-02 18:00:00,Northern Region,471.82,8595.3,49.98
2023-01-02 18:00:00,Western Region,488.59,8872.3,50.03
2023-01-02 18:00:00,Southern Region,435.66,7924.1,49.97
2023-01-02 18:00:00,Eastern Region,247.35,4444.4,49.99
2023-01-02 18:00:00,North-Eastern Region,225.85,4120.1,50.0
2023-01-02 19:00:00,Northern Region,432.08,7871.5,49.99
2023-01-02 19:00:00,Western Region,457.7,8340.3,49.96
2023-01-02 19:00:00,Southern Region,390.28,7132.1,49.99
2023-01-02 19:00:00,Eastern Region,203.01,3688.9,49.99
2023-01-02 19:00:00,North-Eastern Region,205.53,3735.1,50.01
2023-01-02 20:00:00,Northern Region,398.03,7260.2,50.1
2023-01-02 20:00:00,Western Region,464.99,8477.3,50.0
2023-01-02 20:00:00,Southern Region,405.8,7409.8,50.02
2023-01-02 20:00:00,Eastern Region,217.92,3999.1,49.99
2023-01-02 20:00:00,North-Eastern Region,193.03,3528.3,50.07
2023-01-02 21:00:00,Northern Region,363.15,6623.1,50.0
2023-01-02 21:00:00,Western Region,424.53,7719.9,50.06
2023-01-02 21:00:00,Southern Region,395.55,7203.9,49.98
2023-01-02 21:00:00,Eastern Region,203.65,3717.4,49.98
2023-01-02 21:00:00,North-Eastern Region,183.56,3348.9,49.93
2023-01-02 22:00:00,Northern Region,357.82,6504.0,49.98
2023-01-02 22:00:00,Western Region,415.55,7540.3,50.01
2023-01-02 22:00:00,Southern Region,354.2,6434.7,49.98
2023-01-02 22:00:00,Eastern Region,222.97,4061.1,49.97
2023-01-02 22:00:00,North-Eastern Region,155.89,2792.8,49.96
2023-01-02 23:00:00,Northern Region,336.18,6112.5,50.04
2023-01-02 23:00:00,Western Region,379.14,6911.6,50.0
2023-01-02 23:00:00,Southern Region,352.54,6431.4,50.0
2023-01-02 23:00:00,Eastern Region,170.19,3156.5,50.0
2023-01-02 23:00:00,North-Eastern Region,154.56,2795.5,49.93
2023-01-03 00:00:00,Northern Region,320.98,5797.7,50.04
2023-01-03 00:00:00,Western Region,405.7,7392.0,49.97
2023-01-03 00:00:00,Southern Region,319.52,5776.8,49.94
2023-01-03 00:00:00,Eastern Region,161.57,2971.1,49.98
2023-01-03 00:00:00,North-Eastern Region,138.71,2588.0,49.92
2023-01-03 01:00:00,Northern Region,331.88,6097.7,50.05
2023-01-03 01:00:00,Western Region,374.94,6764.6,50.03
2023-01-03 01:00:00,Southern Region,312.01,5678.0,49.94
2023-01-03 01:00:00,Eastern Region,142.6,2564.8,50.08
2023-01-03 01:00:00,North-Eastern Region,147.78,2648.1,49.9
2023-01-03 02:00:00,Northern Region,347.32,6341.5,49.98
2023-01-03 02:00:00,Western Region,323.25,5850.8,49.97
2023-01-03 02:00:00,Southern Region,350.69,6355.9,50.03
2023-01-03 02:00:00,Eastern Region,134.13,2430.5,50.04
2023-01-03 02:00:00,North-Eastern Region,150.64,2698.9,50.03
2023-01-03 03:00:00,Northern Region,331.6,6044.1,50.05
2023-01-03 03:00:00,Western Region,355.98,6490.2,49.95
2023-01-03 03:00:00,Southern Region,318.77,5803.7,49.91
2023-01-03 03:00:00,Eastern Region,152.32,2793.4,49.94
2023-01-03 03:00:00,North-Eastern Region,150.65,2745.1,50.12
2023-01-03 04:00:00,Northern Region,345.44,6270.6,49.94
2023-01-03 04:00:00,Western Region,366.65,6674.0,50.04
2023-01-03 04:00:00,Southern Region,322.74,5899.1,50.04
2023-01-03 04:00:00,Eastern Region,161.77,2967.7,49.99
2023-01-03 04:00:00,North-Eastern Region,165.77,2971.4,50.0
2023-01-03 05:00:00,Northern Region,356.34,6502.9,49.99
2023-01-03 05:00:00,Western Region,401.52,7289.9,49.99
2023-01-03 05:00:00,Southern Region,322.95,5898.1,49.98
2023-01-03 05:00:00,Eastern Region,175.24,3195.2,50.0
2023-01-03 05:00:00,North-Eastern Region,176.35,3232.1,50.0
2023-01-03 06:00:00,Northern Region,368.33,6708.8,50.02
2023-01-03 06:00:00,Western Region,401.33,7335.4,50.03
2023-01-03 06:00:00,Southern Region,347.35,6316.9,49.97
2023-01-03 06:00:00,Eastern Region,153.14,2780.8,50.05
2023-01-03 06:00:00,North-Eastern Region,190.25,3462.3,50.02
2023-01-03 07:00:00,Northern Region,389.23,7120.7,50.03
2023-01-03 07:00:00,Western Region,458.7,8383.1,49.93
2023-01-03 07:00:00,Southern Region,381.3,6970.9,49.99
2023-01-03 07:00:00,Eastern Region,166.24,3027.1,49.98
2023-01-03 07:00:00,North-Eastern Region,156.18,2838.7,50.04
2023-01-03 08:00:00,Northern Region,410.73,7496.5,50.01
2023-01-03 08:00:00,Western Region,434.07,7937.2,49.99
2023-01-03 08:00:00,Southern Region,390.93,7120.5,50.07
2023-01-03 08:00:00,Eastern Region,207.7,3790.9,49.96
2023-01-03 08:00:00,North-Eastern Region,229.41,4202.5,50.07
2023-01-03 09:00:00,Northern Region,448.48,8126.8,50.04
2023-01-03 09:00:00,Western Region,485.29,8778.0,50.01
2023-01-03 09:00:00,Southern Region,413.91,7473.5,50.03
2023-01-03 09:00:00,Eastern Region,207.4,3773.0,50.03
2023-01-03 09:00:00,North-Eastern Region,211.59,3864.5,49.95
2023-01-03 10:00:00,Northern Region,451.9,8213.8,49.96
2023-01-03 10:00:00,Western Region,489.57,8932.8,49.94
2023-01-03 10:00:00,Southern Region,450.27,8183.5,50.07
2023-01-03 10:00:00,Eastern Region,230.94,4213.0,50.03
2023-01-03 10:00:00,North-Eastern Region,212.18,3876.0,49.99
2023-01-03 11:00:00,Northern Region,448.24,8165.7,50.0
2023-01-03 11:00:00,Western Region,533.94,9727.1,50.01
2023-01-03 11:00:00,Southern Region,454.04,8302.3,49.93
2023-01-03 11:00:00,Eastern Region,200.42,3612.1,50.0
2023-01-03 11:00:00,North-Eastern Region,198.51,3581.0,50.03
2023-01-03 12:00:00,Northern Region,477.34,8643.5,50.03
2023-01-03 12:00:00,Western Region,551.2,10096.5,50.01
2023-01-03 12:00:00,Southern Region,473.73,8618.9,50.07
2023-01-03 12:00:00,Eastern Region,242.59,4386.9,50.03
2023-01-03 12:00:00,North-Eastern Region,225.44,4120.9,49.95
2023-01-03 13:00:00,Northern Region,475.57,8728.8,49.95
2023-01-03 13:00:00,Western Region,540.5,9872.2,49.99
2023-01-03 13:00:00,Southern Region,493.51,8996.1,49.98
2023-01-03 13:00:00,Eastern Region,226.79,4133.7,49.93
2023-01-03 13:00:00,North-Eastern Region,219.4,3999.0,49.95
2023-01-03 14:00:00,Northern Region,476.23,8630.8,50.05
2023-01-03 14:00:00,Western Region,553.54,10088.0,50.01
2023-01-03 14:00:00,Southern Region,471.98,8555.2,50.09
2023-01-03 14:00:00,Eastern Region,249.29,4532.2,50.02
2023-01-03 14:00:00,North-Eastern Region,254.42,4669.9,50.07
2023-01-03 15:00:00,Northern Region,488.43,8864.7,50.0
2023-01-03 15:00:00,Western Region,544.58,9908.9,50.0
2023-01-03 15:00:00,Southern Region,430.82,7891.5,49.99
2023-01-03 15:00:00,Eastern Region,264.56,4843.5,50.02
2023-01-03 15:00:00,North-Eastern Region,269.36,4881.5,50.11
2023-01-03 16:00:00,Northern Region,470.73,8511.4,49.97
2023-01-03 16:00:00,Western Region,529.78,9587.0,49.99
2023-01-03 16:00:00,Southern Region,462.32,8392.7,49.98
2023-01-03 16:00:00,Eastern Region,222.69,4059.0,50.01
2023-01-03 16:00:00,North-Eastern Region,232.59,4235.1,50.01
2023-01-03 17:00:00,Northern Region,465.12,8472.0,50.08
2023-01-03 17:00:00,Western Region,539.45,9786.5,49.96
2023-01-03 17:00:00,Southern Region,441.04,8050.2,49.98
2023-01-03 17:00:00,Eastern Region,246.14,4451.9,49.94
2023-01-03 17:00:00,North-Eastern Region,202.24,3630.7,49.98
2023-01-03 18:00:00,Northern Region,470.86,8591.3,50.01
2023-01-03 18:00:00,Western Region,484.26,8803.4,49.97
2023-01-03 18:00:00,Southern Region,433.94,7903.7,50.03
2023-01-03 18:00:00,Eastern Region,214.58,3924.9,50.0
2023-01-03 18:00:00,North-Eastern Region,214.23,3912.1,49.98
2023-01-03 19:00:00,Northern Region,421.96,7679.1,50.04
2023-01-03 19:00:00,Western Region,472.1,8602.9,49.96
2023-01-03 19:00:00,Southern Region,417.3,7634.0,50.05
2023-01-03 19:00:00,Eastern Region,220.61,3998.9,49.97
2023-01-03 19:00:00,North-Eastern Region,197.99,3586.8,50.01
2023-01-03 20:00:00,Northern Region,389.23,7053.1,49.95
2023-01-03 20:00:00,Western Region,439.09,7929.1,49.94
2023-01-03 20:00:00,Southern Region,385.3,7002.2,50.07
2023-01-03 20:00:00,Eastern Region,211.73,3859.9,49.94
2023-01-03 20:00:00,North-Eastern Region,192.23,3517.7,50.05
2023-01-03 21:00:00,Northern Region,344.3,6307.2,49.99
2023-01-03 21:00:00,Western Region,440.45,7999.0,50.0
2023-01-03 21:00:00,Southern Region,361.16,6575.8,50.06
2023-01-03 21:00:00,Eastern Region,209.37,3835.4,49.97
2023-01-03 21:00:00,North-Eastern Region,186.0,3367.5,50.01
2023-01-03 22:00:00,Northern Region,374.77,6785.3,49.98
2023-01-03 22:00:00,Western Region,418.96,7658.2,49.95
2023-01-03 22:00:00,Southern Region,358.81,6567.5,50.05
2023-01-03 22:00:00,Eastern Region,174.49,3208.1,50.01
2023-01-03 22:00:00,North-Eastern Region,165.6,3064.7,49.98
2023-01-03 23:00:00,Northern Region,341.65,6170.5,49.98
2023-01-03 23:00:00,Western Region,375.62,6782.9,50.02
2023-01-03 23:00:00,Southern Region,332.69,6082.8,49.99
2023-01-03 23:00:00,Eastern Region,188.67,3435.4,49.99
2023-01-03 23:00:00,North-Eastern Region,168.71,3045.1,49.98
2023-01-04 00:00:00,Northern Region,343.07,6268.3,49.99
2023-01-04 00:00:00,Western Region,370.72,6706.0,49.98
2023-01-04 00:00:00,Southern Region,322.72,5833.7,50.05
2023-01-04 00:00:00,Eastern Region,162.31,2950.3,50.03
2023-01-04 00:00:00,North-Eastern Region,151.54,2778.5,49.91
2023-01-04 01:00:00,Northern Region,314.07,5655.7,50.05
2023-01-04 01:00:00,Western Region,374.18,6790.8,50.0
2023-01-04 01:00:00,Southern Region,309.94,5653.3,50.03
2023-01-04 01:00:00,Eastern Region,152.2,2781.6,49.97
2023-01-04 01:00:00,North-Eastern Region,156.44,2853.8,50.03
2023-01-04 02:00:00,Northern Region,310.11,5640.8,50.02
2023-01-04 02:00:00,Western Region,371.57,6804.7,49.99
2023-01-04 02:00:00,Southern Region,348.98,6327.6,50.03
2023-01-04 02:00:00,Eastern Region,184.14,3407.3,50.0
2023-01-04 02:00:00,North-Eastern Region,144.29,2580.5,49.98
2023-01-04 03:00:00,Northern Region,295.27,5350.5,49.93
2023-01-04 03:00:00,Western Region,368.18,6734.4,49.99
2023-01-04 03:00:00,Southern Region,344.7,6263.5,50.03
2023-01-04 03:00:00,Eastern Region,147.12,2684.8,50.03
2023-01-04 03:00:00,North-Eastern Region,166.77,3066.9,50.01
2023-01-04 04:00:00,Northern Region,332.26,6052.7,50.05
2023-01-04 04:00:00,Western Region,378.18,6897.4,50.01
2023-01-04 04:00:00,Southern Region,348.68,6275.8,49.98
2023-01-04 04:00:00,Eastern Region,166.31,3031.3,49.94
2023-01-04 04:00:00,North-Eastern Region,188.93,3444.3,49.98
2023-01-04 05:00:00,Northern Region,364.69,6666.4,49.94
2023-01-04 05:00:00,Western Region,353.49,6407.5,50.04
2023-01-04 05:00:00,Southern Region,356.06,6490.9,50.03
2023-01-04 05:00:00,Eastern Region,168.9,3110.4,50.03
2023-01-04 05:00:00,North-Eastern Region,158.1,2875.8,50.0
2023-01-04 06:00:00,Northern Region,373.01,6760.4,50.0
2023-01-04 06:00:00,Western Region,413.76,7515.9,50.04
2023-01-04 06:00:00,Southern Region,371.8,6749.8,50.0
2023-01-04 06:00:00,Eastern Region,183.19,3333.5,49.96
2023-01-04 06:00:00,North-Eastern Region,168.48,3119.8,49.98
2023-01-04 07:00:00,Northern Region,387.46,7036.5,49.92
2023-01-04 07:00:00,Western Region,457.81,8306.9,50.0
2023-01-04 07:00:00,Southern Region,366.29,6653.7,50.0
2023-01-04 07:00:00,Eastern Region,182.54,3336.1,50.07
2023-01-04 07:00:00,North-Eastern Region,184.41,3393.3,49.97
2023-01-04 08:00:00,Northern Region,406.19,7374.7,50.0
2023-01-04 08:00:00,Western Region,449.08,8212.0,50.03
2023-01-04 08:00:00,Southern Region,407.24,7403.1,50.04
2023-01-04 08:00:00,Eastern Region,213.68,3894.9,49.98
2023-01-04 08:00:00,North-Eastern Region,203.84,3668.2,50.04
2023-01-04 09:00:00,Northern Region,391.31,7157.7,49.96
2023-01-04 09:00:00,Western Region,463.54,8423.1,50.03
2023-01-04 09:00:00,Southern Region,413.19,7546.7,50.04
2023-01-04 09:00:00,Eastern Region,225.13,4067.9,50.05
2023-01-04 09:00:00,North-Eastern Region,201.92,3739.8,49.98
2023-01-04 10:00:00,Northern Region,406.5,7429.5,49.99
2023-01-04 10:00:00,Western Region,478.51,8678.3,50.07
2023-01-04 10:00:00,Southern Region,437.16,7945.4,50.01
2023-01-04 10:00:00,Eastern Region,227.24,4100.3,50.01
2023-01-04 10:00:00,North-Eastern Region,208.75,3798.6,50.0
2023-01-04 11:00:00,Northern Region,505.64,9240.9,50.12
2023-01-04 11:00:00,Western Region,509.46,9302.2,50.01
2023-01-04 11:00:00,Southern Region,479.67,8668.6,49.95
2023-01-04 11:00:00,Eastern Region,202.44,3710.9,49.97
2023-01-04 11:00:00,North-Eastern Region,233.27,4255.7,49.99
2023-01-04 12:00:00,Northern Region,483.29,8789.6,50.04
2023-01-04 12:00:00,Western Region,518.16,9444.8,50.03
2023-01-04 12:00:00,Southern Region,445.84,8118.8,49.99
2023-01-04 12:00:00,Eastern Region,222.93,4131.5,50.04
2023-01-04 12:00:00,North-Eastern Region,251.52,4633.7,50.03
2023-01-04 13:00:00,Northern Region,469.03,8580.5,49.96
2023-01-04 13:00:00,Western Region,518.71,9451.3,50.03
